Entity,Code,Year,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice,EnforceBansTobaccoAd,HelpToQuit
North Macedonia,MKD,2014,3.05,69.8,4,4
Norway,NOR,2012,8.33,72.8,4,4
Norway,NOR,2014,9.31,67.2,4,4
Oman,OMN,2012,2.6,22.1,2,3
Oman,OMN,2014,2.86,22.1,2,4
Pakistan,PAK,2012,0.97,61.6,2,3
Pakistan,PAK,2014,1.1,60.7,4,4
Panama,PAN,2012,6.57,56.5,5,5
Panama,PAN,2014,6.44,56.5,5,5
Peru,PER,2012,2.96,44.9,2,3
Peru,PER,2014,3.7,39.5,2,3
Philippines,PHL,2012,1.23,34.2,4,4
Philippines,PHL,2014,1.86,53,4,4
Poland,POL,2012,5.85,79.7,4,4
Poland,POL,2014,6.45,82.6,4,4
Portugal,PRT,2012,6.07,76.3,4,4
Portugal,PRT,2014,5.93,79.6,4,4
Romania,ROU,2012,5.79,75.3,4,5
Romania,ROU,2014,6.16,77.3,4,4
Russia,RUS,2012,1.52,45,2,3
Russia,RUS,2014,2.18,50.5,5,4
Rwanda,RWA,2014,2.01,24.1,2,2
Saint Kitts and Nevis,KNA,2012,3.52,19.9,2,3
Samoa,WSM,2012,5.96,59.5,4,3
Saudi Arabia,SAU,2012,2.63,22.9,2,4
Senegal,SEN,2012,1.61,29,2,3
Senegal,SEN,2014,1.91,37.9,4,3
Serbia,SRB,2012,3.25,75.4,4,4
Serbia,SRB,2014,4.48,73.8,4,4
Sierra Leone,SLE,2014,1.58,19.7,2,2
Singapore,SGP,2012,10.58,70.4,4,5
Singapore,SGP,2014,11.04,73.8,4,5
Slovakia,SVK,2012,4.66,83.1,4,4
Slovakia,SVK,2014,4.95,84.6,4,4
Slovenia,SVN,2012,4.93,78.4,4,4
Slovenia,SVN,2014,5.84,79.4,4,4
South Africa,ZAF,2012,5.16,47.6,4,3
South Africa,ZAF,2014,5.48,48.1,4,4
South Korea,KOR,2012,3.22,65.3,2,5
South Korea,KOR,2014,3.24,60.3,2,5
Spain,ESP,2012,5.65,79.2,5,4
Spain,ESP,2014,6.39,78.8,5,4
Sri Lanka,LKA,2012,7.63,74.2,4,3
Sri Lanka,LKA,2014,8.42,73.5,4,3
Sweden,SWE,2012,5.6,73.8,4,4
Sweden,SWE,2014,6.5,68.8,4,4
Switzerland,CHE,2012,4.59,63.6,2,4
Switzerland,CHE,2014,5.08,61.9,2,4
Thailand,THA,2012,2.94,68.7,4,4
Thailand,THA,2014,3.41,70.2,4,4
Tonga,TON,2012,7.63,64.3,4,4
Tunisia,TUN,2012,2.82,84.5,4,4
Tunisia,TUN,2014,3.26,78.1,4,4
Turkey,TUR,2012,4.92,80.3,5,5
Turkey,TUR,2014,5.63,82.2,5,5
Uganda,UGA,2012,1.79,44.2,2,4
Uganda,UGA,2014,2.03,40.2,2,4
Ukraine,UKR,2012,1.76,59.7,4,3
Ukraine,UKR,2014,2.22,62.4,4,3
United Arab Emirates,ARE,2012,1.55,24.5,4,5
United Arab Emirates,ARE,2014,1.82,21.1,5,5
United Kingdom,GBR,2012,10.78,76.1,4,5
United Kingdom,GBR,2014,11.2,81.3,4,5
United States,USA,2012,6.07,42.9,2,5
United States,USA,2014,6.07,42.9,2,5
Uruguay,URY,2012,3.98,69,4,5
Uruguay,URY,2014,3.71,65.6,5,5
Uzbekistan,UZB,2012,1.64,32.7,4,3
Uzbekistan,UZB,2014,2.31,31.1,4,4
Venezuela,VEN,2012,5.95,71,2,4
Vietnam,VNM,2012,2.49,41.6,4,3
Vietnam,VNM,2014,2.07,41.6,4,3
Yemen,YEM,2012,1.71,52.9,4,3
Yemen,YEM,2014,1.94,53.7,5,3
Zambia,ZMB,2012,1.68,25.8,2,3
Zambia,ZMB,2014,1.81,21.3,2,3
Zimbabwe,ZWE,2012,0.67,57.6,2,3
Zimbabwe,ZWE,2014,1.07,59.8,2,3
Liberia,LBR,2014,,17.2,2,3
Afghanistan,AFG,2007,,,4,3
Afghanistan,AFG,2010,,,4,3
Afghanistan,AFG,2012,,,4,3
Afghanistan,AFG,2014,,,4,3
Albania,ALB,2007,,,5,2
Albania,ALB,2010,,,5,3
Albania,ALB,2012,,,5,4
Albania,ALB,2014,,,5,4
Algeria,DZA,2007,,,4,3
Algeria,DZA,2010,,,4,3
Andorra,AND,2007,,,2,4
Andorra,AND,2010,,,2,4
Andorra,AND,2012,,,2,4
Andorra,AND,2014,,,2,4
Angola,AGO,2007,,,2,3
Angola,AGO,2010,,,2,3
Angola,AGO,2012,,,2,3
Angola,AGO,2014,,,2,3
Antigua and Barbuda,ATG,2007,,,2,3
Antigua and Barbuda,ATG,2010,,,2,3
Antigua and Barbuda,ATG,2012,,,2,3
Antigua and Barbuda,ATG,2014,,,2,3
Argentina,ARG,2007,,,2,4
Argentina,ARG,2010,,,2,4
Armenia,ARM,2007,,,2,3
Armenia,ARM,2010,,,2,3
Australia,AUS,2007,,,4,5
Australia,AUS,2010,,,4,5
Austria,AUT,2007,,,4,4
Austria,AUT,2010,,,4,4
Azerbaijan,AZE,2007,,,4,2
Azerbaijan,AZE,2010,,,4,3
Bahamas,BHS,2007,,,2,3
Bahamas,BHS,2010,,,2,3
Bahamas,BHS,2012,,,2,4
Bahrain,BHR,2007,,,2,5
Bahrain,BHR,2010,,,4,5
Bahrain,BHR,2012,,,5,4
Bahrain,BHR,2014,,,5,4
Bangladesh,BGD,2007,,,4,3
Bangladesh,BGD,2010,,,4,3
Barbados,BRB,2007,,,2,3
Barbados,BRB,2010,,,2,3
Barbados,BRB,2012,,,2,4
Barbados,BRB,2014,,,2,4
Belarus,BLR,2007,,,4,4
Belarus,BLR,2010,,,4,4
Belgium,BEL,2007,,,4,5
Belgium,BEL,2010,,,4,4
Belize,BLZ,2007,,,2,3
Belize,BLZ,2010,,,2,3
Belize,BLZ,2012,,,2,3
Benin,BEN,2007,,,4,3
Benin,BEN,2010,,,4,3
Benin,BEN,2012,,,4,3
Benin,BEN,2014,,,4,4
Bhutan,BTN,2007,,,2,2
Bhutan,BTN,2010,,,4,2
Bhutan,BTN,2012,,,4,2
Bhutan,BTN,2014,,,4,4
Bolivia,BOL,2007,,,4,3
Bolivia,BOL,2010,,,4,3
Bosnia and Herzegovina,BIH,2007,,,4,3
Bosnia and Herzegovina,BIH,2010,,,4,3
Botswana,BWA,2007,,,4,3
Botswana,BWA,2010,,,4,3
Botswana,BWA,2012,,,4,3
Botswana,BWA,2014,,,4,3
Brazil,BRA,2007,,,4,5
Brazil,BRA,2010,,,4,5
Brunei,BRN,2007,,,4,4
Brunei,BRN,2010,,,4,4
Brunei,BRN,2012,,,4,4
Brunei,BRN,2014,,,4,5
Bulgaria,BGR,2007,,,4,4
Bulgaria,BGR,2010,,,4,4
Burkina Faso,BFA,2007,,,4,3
Burkina Faso,BFA,2010,,,4,3
Burkina Faso,BFA,2012,,,4,3
Burkina Faso,BFA,2014,,,4,4
Burundi,BDI,2007,,,2,2
Burundi,BDI,2010,,,2,2
Burundi,BDI,2012,,,2,2
Cambodia,KHM,2007,,,2,3
Cambodia,KHM,2010,,,2,3
Cameroon,CMR,2007,,,4,3
Cameroon,CMR,2010,,,4,3
Canada,CAN,2007,,,2,3
Canada,CAN,2010,,,4,5
Cape Verde,CPV,2007,,,2,4
Cape Verde,CPV,2010,,,2,4
Cape Verde,CPV,2012,,,2,4
Cape Verde,CPV,2014,,,2,4
Central African Republic,CAF,2007,,,2,3
Central African Republic,CAF,2010,,,2,3
Central African Republic,CAF,2012,,,2,3
Central African Republic,CAF,2014,,,2,3
Chad,TCD,2007,,,3,2
Chad,TCD,2010,,,5,2
Chad,TCD,2012,,,5,3
Chad,TCD,2014,,,5,3
Chile,CHL,2007,,,4,3
Chile,CHL,2010,,,4,3
China,CHN,2007,,,4,3
China,CHN,2010,,,4,3
Colombia,COL,2007,,,2,3
Colombia,COL,2010,,,5,3
Comoros,COM,2007,,,2,2
Comoros,COM,2010,,,4,2
Comoros,COM,2012,,,2,2
Congo,COG,2007,,,4,3
Congo,COG,2010,,,4,4
Congo,COG,2012,,,4,4
Congo,COG,2014,,,4,4
Cook Islands,COK,2007,,,4,4
Cook Islands,COK,2010,,,4,4
Cook Islands,COK,2012,,,4,4
Cook Islands,COK,2014,,,4,4
Costa Rica,CRI,2007,,,2,4
Costa Rica,CRI,2010,,,2,4
Costa Rica,CRI,2012,,,4,4
Cote d'Ivoire,CIV,2007,,,2,3
Cote d'Ivoire,CIV,2010,,,2,3
Cote d'Ivoire,CIV,2012,,,2,3
Cote d'Ivoire,CIV,2014,,,2,4
Croatia,HRV,2007,,,4,3
Croatia,HRV,2010,,,4,4
Cuba,CUB,2007,,,2,4
Cuba,CUB,2010,,,2,4
Cuba,CUB,2012,,,2,4
Cuba,CUB,2014,,,2,4
Cyprus,CYP,2007,,,4,4
Cyprus,CYP,2010,,,4,4
Czechia,CZE,2007,,,4,3
Czechia,CZE,2010,,,4,4
Democratic Republic of Congo,COD,2007,,,3,3
Democratic Republic of Congo,COD,2010,,,3,3
Democratic Republic of Congo,COD,2012,,,3,3
Democratic Republic of Congo,COD,2014,,,3,3
Denmark,DNK,2007,,,4,4
Denmark,DNK,2010,,,4,4
Djibouti,DJI,2007,,,5,3
Djibouti,DJI,2010,,,5,3
Djibouti,DJI,2012,,,5,3
Djibouti,DJI,2014,,,5,3
Dominica,DMA,2007,,,2,3
Dominica,DMA,2010,,,2,3
Dominica,DMA,2012,,,2,3
Dominica,DMA,2014,,,2,3
Dominican Republic,DOM,2007,,,2,3
Dominican Republic,DOM,2010,,,2,3
Ecuador,ECU,2007,,,2,3
Ecuador,ECU,2010,,,2,4
Egypt,EGY,2007,,,4,4
Egypt,EGY,2010,,,4,4
El Salvador,SLV,2007,,,2,4
El Salvador,SLV,2010,,,2,4
El Salvador,SLV,2012,,,4,5
El Salvador,SLV,2014,,,4,5
Equatorial Guinea,GNQ,2007,,,2,2
Equatorial Guinea,GNQ,2010,,,2,2
Equatorial Guinea,GNQ,2012,,,2,2
Equatorial Guinea,GNQ,2014,,,2,2
Eritrea,ERI,2007,,,5,2
Eritrea,ERI,2010,,,5,2
Eritrea,ERI,2012,,,5,2
Eritrea,ERI,2014,,,5,2
Estonia,EST,2007,,,4,3
Estonia,EST,2010,,,4,3
Eswatini,SWZ,2007,,,2,4
Eswatini,SWZ,2010,,,2,4
Eswatini,SWZ,2012,,,2,4
Eswatini,SWZ,2014,,,4,4
Ethiopia,ETH,2007,,,2,2
Ethiopia,ETH,2010,,,2,3
Ethiopia,ETH,2012,,,4,4
Fiji,FJI,2007,,,4,2
Fiji,FJI,2010,,,4,2
Finland,FIN,2007,,,4,4
Finland,FIN,2010,,,4,4
France,FRA,2007,,,4,4
France,FRA,2010,,,4,4
Gabon,GAB,2007,,,2,3
Gabon,GAB,2010,,,2,3
Gabon,GAB,2012,,,2,3
Gabon,GAB,2014,,,4,3
Gambia,GMB,2007,,,4,2
Gambia,GMB,2010,,,4,2
Gambia,GMB,2012,,,4,2
Georgia,GEO,2007,,,2,3
Georgia,GEO,2010,,,2,3
Germany,DEU,2007,,,3,4
Germany,DEU,2010,,,4,4
Ghana,GHA,2007,,,2,3
Ghana,GHA,2010,,,2,3
Greece,GRC,2007,,,4,3
Greece,GRC,2010,,,4,3
Grenada,GRD,2007,,,2,3
Grenada,GRD,2010,,,2,3
Grenada,GRD,2012,,,2,3
Grenada,GRD,2014,,,2,3
Guatemala,GTM,2007,,,2,4
Guatemala,GTM,2010,,,2,4
Guinea,GIN,2007,,,4,3
Guinea,GIN,2010,,,4,3
Guinea,GIN,2012,,,5,3
Guinea,GIN,2014,,,5,3
Guinea-Bissau,GNB,2007,,,2,2
Guinea-Bissau,GNB,2010,,,2,2
Guinea-Bissau,GNB,2012,,,2,3
Guinea-Bissau,GNB,2014,,,2,3
Guyana,GUY,2007,,,2,3
Guyana,GUY,2010,,,2,4
Guyana,GUY,2012,,,2,4
Guyana,GUY,2014,,,2,4
Haiti,HTI,2007,,,2,3
Haiti,HTI,2010,,,2,3
Haiti,HTI,2012,,,2,3
Haiti,HTI,2014,,,2,3
Honduras,HND,2007,,,2,3
Honduras,HND,2010,,,4,3
Hungary,HUN,2007,,,4,3
Hungary,HUN,2010,,,4,4
Iceland,ISL,2007,,,4,3
Iceland,ISL,2010,,,4,3
India,IND,2007,,,4,3
India,IND,2010,,,4,3
Indonesia,IDN,2007,,,2,3
Indonesia,IDN,2010,,,2,3
Iran,IRN,2007,,,5,5
Iran,IRN,2010,,,5,5
Iraq,IRQ,2007,,,4,3
Iraq,IRQ,2010,,,4,3
Iraq,IRQ,2012,,,4,3
Iraq,IRQ,2014,,,4,4
Ireland,IRL,2007,,,4,5
Ireland,IRL,2010,,,4,5
Israel,ISR,2007,,,2,4
Israel,ISR,2010,,,2,5
Israel,ISR,2012,,,2,5
Italy,ITA,2007,,,4,4
Italy,ITA,2010,,,4,4
Jamaica,JAM,2007,,,2,4
Jamaica,JAM,2010,,,2,4
Japan,JPN,2007,,,2,4
Japan,JPN,2010,,,2,4
Jordan,JOR,2007,,,4,4
Jordan,JOR,2010,,,4,4
Jordan,JOR,2012,,,4,4
Jordan,JOR,2014,,,4,4
Kazakhstan,KAZ,2007,,,4,4
Kazakhstan,KAZ,2010,,,4,4
Kenya,KEN,2007,,,5,3
Kenya,KEN,2010,,,5,3
Kiribati,KIR,2007,,,2,3
Kiribati,KIR,2010,,,2,3
Kiribati,KIR,2012,,,2,2
Kiribati,KIR,2014,,,5,3
Kuwait,KWT,2007,,,4,4
Kuwait,KWT,2010,,,4,4
Kuwait,KWT,2012,,,4,5
Kuwait,KWT,2014,,,4,5
Kyrgyzstan,KGZ,2007,,,2,3
Kyrgyzstan,KGZ,2010,,,4,3
Kyrgyzstan,KGZ,2012,,,4,4
Kyrgyzstan,KGZ,2014,,,4,4
Laos,LAO,2007,,,4,3
Laos,LAO,2010,,,4,3
Laos,LAO,2012,,,4,3
Laos,LAO,2014,,,4,2
Latvia,LVA,2007,,,4,3
Latvia,LVA,2010,,,4,4
Lebanon,LBN,2007,,,2,4
Lebanon,LBN,2010,,,2,4
Lesotho,LSO,2007,,,2,3
Lesotho,LSO,2010,,,2,4
Lesotho,LSO,2012,,,2,4
Lesotho,LSO,2014,,,2,4
Liberia,LBR,2007,,,2,3
Liberia,LBR,2010,,,2,3
Liberia,LBR,2012,,,2,3
Libya,LBY,2007,,,4,2
Libya,LBY,2010,,,5,3
Libya,LBY,2012,,,5,4
Libya,LBY,2014,,,5,4
Lithuania,LTU,2007,,,4,4
Lithuania,LTU,2010,,,4,4
Luxembourg,LUX,2007,,,4,2
Luxembourg,LUX,2010,,,4,4
Madagascar,MDG,2007,,,5,3
Madagascar,MDG,2010,,,5,3
Madagascar,MDG,2012,,,5,3
Madagascar,MDG,2014,,,5,3
Malawi,MWI,2007,,,2,2
Malawi,MWI,2010,,,2,2
Malawi,MWI,2012,,,2,2
Malawi,MWI,2014,,,2,2
Malaysia,MYS,2007,,,4,4
Malaysia,MYS,2010,,,4,4
Maldives,MDV,2007,,,4,3
Maldives,MDV,2010,,,5,3
Maldives,MDV,2012,,,5,3
Maldives,MDV,2014,,,5,2
Mali,MLI,2007,,,2,3
Mali,MLI,2010,,,5,3
Mali,MLI,2012,,,4,3
Malta,MLT,2007,,,4,4
Malta,MLT,2010,,,4,4
Malta,MLT,2012,,,4,4
Malta,MLT,2014,,,4,5
Marshall Islands,MHL,2007,,,2,4
Marshall Islands,MHL,2010,,,2,4
Marshall Islands,MHL,2012,,,2,4
Marshall Islands,MHL,2014,,,2,4
Mauritania,MRT,2007,,,2,2
Mauritania,MRT,2010,,,2,2
Mauritania,MRT,2012,,,2,2
Mauritania,MRT,2014,,,2,2
Mauritius,MUS,2007,,,4,4
Mauritius,MUS,2010,,,5,4
Mauritius,MUS,2012,,,5,4
Mauritius,MUS,2014,,,5,4
Mexico,MEX,2007,,,2,4
Mexico,MEX,2010,,,2,4
Micronesia (country),FSM,2007,,,2,3
Micronesia (country),FSM,2010,,,2,3
Micronesia (country),FSM,2012,,,2,3
Micronesia (country),FSM,2014,,,2,4
Moldova,MDA,2007,,,4,3
Moldova,MDA,2010,,,4,3
Monaco,MCO,2007,,,2,3
Monaco,MCO,2010,,,2,4
Monaco,MCO,2012,,,2,4
Monaco,MCO,2014,,,2,4
Mongolia,MNG,2007,,,4,4
Mongolia,MNG,2010,,,4,4
Montenegro,MNE,2007,,,4,2
Montenegro,MNE,2010,,,4,2
Montenegro,MNE,2012,,,4,4
Montenegro,MNE,2014,,,4,4
Morocco,MAR,2007,,,4,3
Morocco,MAR,2010,,,4,3
Mozambique,MOZ,2007,,,4,3
Mozambique,MOZ,2010,,,4,3
Mozambique,MOZ,2012,,,4,3
Mozambique,MOZ,2014,,,4,3
Myanmar,MMR,2007,,,4,3
Myanmar,MMR,2010,,,4,3
Myanmar,MMR,2012,,,4,3
Myanmar,MMR,2014,,,4,4
Namibia,NAM,2007,,,2,3
Namibia,NAM,2010,,,4,3
Namibia,NAM,2012,,,4,4
Namibia,NAM,2014,,,4,4
Nauru,NRU,2007,,,2,3
Nauru,NRU,2010,,,4,3
Nauru,NRU,2012,,,4,3
Nauru,NRU,2014,,,4,3
Nepal,NPL,2007,,,2,2
Nepal,NPL,2010,,,4,4
Netherlands,NLD,2007,,,4,3
Netherlands,NLD,2010,,,4,4
New Zealand,NZL,2007,,,4,5
New Zealand,NZL,2010,,,4,5
Nicaragua,NIC,2007,,,2,3
Nicaragua,NIC,2010,,,2,3
Nicaragua,NIC,2014,,,2,3
Niger,NER,2007,,,5,3
Niger,NER,2010,,,5,3
Niger,NER,2012,,,5,3
Niger,NER,2014,,,5,3
Nigeria,NGA,2007,,,2,4
Nigeria,NGA,2010,,,2,4
Nigeria,NGA,2014,,,2,4
Niue,NIU,2007,,,2,4
Niue,NIU,2010,,,2,4
Niue,NIU,2012,,,2,4
Niue,NIU,2014,,,2,4
North Korea,PRK,2007,,,2,4
North Korea,PRK,2010,,,2,4
North Korea,PRK,2012,,,2,4
North Korea,PRK,2014,,,2,4
North Macedonia,MKD,2007,,,4,3
North Macedonia,MKD,2010,,,4,3
Norway,NOR,2007,,,4,4
Norway,NOR,2010,,,4,4
Oman,OMN,2007,,,2,3
Oman,OMN,2010,,,2,3
Pakistan,PAK,2007,,,2,3
Pakistan,PAK,2010,,,2,3
Palau,PLW,2007,,,2,4
Palau,PLW,2010,,,2,4
Palau,PLW,2012,,,4,4
Palau,PLW,2014,,,4,4
Panama,PAN,2007,,,2,4
Panama,PAN,2010,,,5,5
Papua New Guinea,PNG,2007,,,4,2
Papua New Guinea,PNG,2010,,,4,2
Papua New Guinea,PNG,2012,,,4,2
Papua New Guinea,PNG,2014,,,4,2
Paraguay,PRY,2007,,,2,4
Paraguay,PRY,2010,,,2,4
Paraguay,PRY,2012,,,2,4
Paraguay,PRY,2014,,,2,4
Peru,PER,2007,,,2,3
Peru,PER,2010,,,2,3
Philippines,PHL,2007,,,2,4
Philippines,PHL,2010,,,4,4
Poland,POL,2007,,,4,4
Poland,POL,2010,,,4,4
Portugal,PRT,2007,,,4,4
Portugal,PRT,2010,,,4,4
Qatar,QAT,2007,,,4,4
Qatar,QAT,2010,,,4,4
Qatar,QAT,2012,,,4,4
Qatar,QAT,2014,,,4,4
Romania,ROU,2007,,,4,4
Romania,ROU,2010,,,4,5
Russia,RUS,2007,,,2,3
Russia,RUS,2010,,,2,3
Rwanda,RWA,2007,,,2,2
Rwanda,RWA,2010,,,2,2
Rwanda,RWA,2012,,,2,2
Saint Kitts and Nevis,KNA,2007,,,2,3
Saint Kitts and Nevis,KNA,2010,,,2,3
Saint Kitts and Nevis,KNA,2014,,,2,3
Saint Lucia,LCA,2007,,,2,3
Saint Lucia,LCA,2010,,,2,3
Saint Lucia,LCA,2012,,,2,3
Saint Lucia,LCA,2014,,,2,3
Saint Vincent and the Grenadines,VCT,2007,,,2,3
Saint Vincent and the Grenadines,VCT,2010,,,2,3
Saint Vincent and the Grenadines,VCT,2012,,,2,3
Saint Vincent and the Grenadines,VCT,2014,,,2,3
Samoa,WSM,2007,,,2,3
Samoa,WSM,2010,,,4,3
Samoa,WSM,2014,,,4,3
San Marino,SMR,2007,,,2,3
San Marino,SMR,2010,,,4,3
San Marino,SMR,2012,,,4,3
San Marino,SMR,2014,,,4,4
Sao Tome and Principe,STP,2007,,,2,2
Sao Tome and Principe,STP,2010,,,2,2
Sao Tome and Principe,STP,2012,,,2,2
Sao Tome and Principe,STP,2014,,,2,4
Saudi Arabia,SAU,2007,,,2,4
Saudi Arabia,SAU,2010,,,2,4
Saudi Arabia,SAU,2014,,,2,4
Senegal,SEN,2007,,,2,3
Senegal,SEN,2010,,,2,3
Serbia,SRB,2007,,,4,3
Serbia,SRB,2010,,,4,4
Seychelles,SYC,2007,,,2,3
Seychelles,SYC,2010,,,4,3
Seychelles,SYC,2012,,,4,3
Seychelles,SYC,2014,,,4,4
Sierra Leone,SLE,2007,,,2,2
Sierra Leone,SLE,2010,,,2,2
Sierra Leone,SLE,2012,,,2,2
Singapore,SGP,2007,,,4,5
Singapore,SGP,2010,,,4,5
Slovakia,SVK,2007,,,4,3
Slovakia,SVK,2010,,,4,4
Slovenia,SVN,2007,,,4,4
Slovenia,SVN,2010,,,4,4
Solomon Islands,SLB,2007,,,2,3
Solomon Islands,SLB,2010,,,4,3
