ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Year,Both sexes,Value,AvgCigarettePriceDollars,AvgTaxesAsPctCigarettePrice
SEAR,South-East Asia,MMR,Myanmar,2014,Male,73.1,,
AFR,Africa,NAM,Namibia,2014,Male,28.1,,
WPR,Western Pacific,NRU,Nauru,2014,Male,54.6,,
SEAR,South-East Asia,NPL,Nepal,2014,Male,53.4,1.73,46.6
EUR,Europe,NLD,Netherlands,2014,Male,27.4,7.22,74.8
WPR,Western Pacific,NZL,New Zealand,2014,Male,18.5,10.61,75
AFR,Africa,NER,Niger,2014,Male,15.7,,
AFR,Africa,NGA,Nigeria,2014,Male,9.7,,
EUR,Europe,NOR,Norway,2014,Male,22.8,9.31,67.2
EMR,Eastern Mediterranean,OMN,Oman,2014,Male,18.3,2.86,22.1
EMR,Eastern Mediterranean,PAK,Pakistan,2014,Male,37.9,1.1,60.7
WPR,Western Pacific,PLW,Palau,2014,Male,38.9,,
AMR,Americas,PAN,Panama,2014,Male,13.4,6.44,56.5
AMR,Americas,PRY,Paraguay,2014,Male,24.6,,
AMR,Americas,PER,Peru,2014,Male,20.4,3.7,39.5
WPR,Western Pacific,PHL,Philippines,2014,Male,44.3,1.86,53
EUR,Europe,POL,Poland,2014,Male,33.2,6.45,82.6
EUR,Europe,PRT,Portugal,2014,Male,33.6,5.93,79.6
EMR,Eastern Mediterranean,QAT,Qatar,2014,Male,27,,
WPR,Western Pacific,KOR,Republic of Korea,2014,Male,42.7,3.24,60.3
EUR,Europe,MDA,Republic of Moldova,2014,Male,44.2,2.06,51.6
EUR,Europe,ROU,Romania,2014,Male,38.2,6.16,77.3
EUR,Europe,RUS,Russian Federation,2014,Male,43.7,2.18,50.5
AFR,Africa,RWA,Rwanda,2014,Male,21.3,2.01,24.1
WPR,Western Pacific,WSM,Samoa,2014,Male,43.9,,
AFR,Africa,STP,Sao Tome and Principe,2014,Male,9.4,,
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2014,Male,30.9,,
AFR,Africa,SEN,Senegal,2014,Male,19.2,1.91,37.9
EUR,Europe,SRB,Serbia,2014,Male,42.4,4.48,73.8
AFR,Africa,SYC,Seychelles,2014,Male,36.6,,
AFR,Africa,SLE,Sierra Leone,2014,Male,34.3,1.58,19.7
WPR,Western Pacific,SGP,Singapore,2014,Male,27.8,11.04,73.8
EUR,Europe,SVK,Slovakia,2014,Male,39.5,4.95,84.6
EUR,Europe,SVN,Slovenia,2014,Male,25.5,5.84,79.4
WPR,Western Pacific,SLB,Solomon Islands,2014,Male,56.1,,
AFR,Africa,ZAF,South Africa,2014,Male,46.7,5.48,48.1
EUR,Europe,ESP,Spain,2014,Male,32,6.39,78.8
SEAR,South-East Asia,LKA,Sri Lanka,2014,Male,43.8,8.42,73.5
EUR,Europe,SWE,Sweden,2014,Male,31.8,6.5,68.8
EUR,Europe,CHE,Switzerland,2014,Male,29,5.08,61.9
SEAR,South-East Asia,THA,Thailand,2014,Male,45.5,3.41,70.2
SEAR,South-East Asia,TLS,Timor-Leste,2014,Male,71.8,,
AFR,Africa,TGO,Togo,2014,Male,14.5,,
WPR,Western Pacific,TON,Tonga,2014,Male,48.8,,
EMR,Eastern Mediterranean,TUN,Tunisia,2014,Male,53.9,3.26,78.1
EUR,Europe,TUR,Turkey,2014,Male,44.2,5.63,82.2
WPR,Western Pacific,TUV,Tuvalu,2014,Male,70.1,,
AFR,Africa,UGA,Uganda,2014,Male,18.8,2.03,40.2
EUR,Europe,UKR,Ukraine,2014,Male,45.1,2.22,62.4
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2014,Male,36.9,1.82,21.1
EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2014,Male,23.8,11.2,81.3
AFR,Africa,TZA,United Republic of Tanzania,2014,Male,26.3,,
AMR,Americas,USA,United States of America,2014,Male,32.3,6.07,42.9
AMR,Americas,URY,Uruguay,2014,Male,28.5,3.71,65.6
EUR,Europe,UZB,Uzbekistan,2014,Male,24.7,2.31,31.1
WPR,Western Pacific,VUT,Vanuatu,2014,Male,47.5,,
EMR,Eastern Mediterranean,YEM,Yemen,2014,Male,34.5,1.94,53.7
AFR,Africa,ZMB,Zambia,2014,Male,26.5,1.81,21.3
AFR,Africa,ZWE,Zimbabwe,2014,Male,27.9,1.07,59.8
